timestamp,"Average annual temperature, central England, 1723 ? 1970",assetno
-7794576000000,9.77,1
-7763040000000,9.27,1
-7731417600000,8.66,1
-7699881600000,9.34,1
-7668345600000,9.94,1
-7636809600000,9.52,1
-7605187200000,9.26,1
-7573651200000,10.04,1
-7542115200000,9.85,1
-7510579200000,9.69,1
-7478956800000,10.47,1
-7447420800000,9.8,1
-7415884800000,9.54,1
-7384348800000,10.3,1
-7352726400000,9.92,1
-7321190400000,9.81,1
-7289654400000,9.2,1
-7258118400000,6.84,1
-7226496000000,9.3,1
-7194960000000,8.36,1
-7163424000000,9.81,1
-7131888000000,8.78,1
-7100265600000,8.81,1
-7068729600000,8.61,1
-7037193600000,9.82,1
-7005657600000,8.77,1
-6974035200000,9.44,1
-6942499200000,9.69,1
-6910963200000,8.42,1
-6879427200000,9.19,1
-6847804800000,9.08,1
-6816268800000,8.83,1
-6784732800000,8.54,1
-6753196800000,8.77,1
-6721574400000,8.95,1
-6690038400000,8.95,1
-6658502400000,10.0,1
-6626966400000,9.83,1
-6595344000000,10.0,1
-6563808000000,9.58,1
-6532272000000,8.93,1
-6500736000000,8.72,1
-6469113600000,8.5,1
-6437577600000,8.62,1
-6406041600000,8.69,1
-6374505600000,8.93,1
-6342883200000,8.77,1
-6311347200000,8.51,1
-6279811200000,8.55,1
-6248275200000,9.15,1
-6216652800000,9.24,1
-6185116800000,9.07,1
-6153580800000,10.09,1
-6122044800000,9.01,1
-6090422400000,9.08,1
-6058886400000,9.2,1
-6027350400000,10.4,1
-5995814400000,9.09,1
-5964192000000,10.2,1
-5932656000000,8.01,1
-5901120000000,9.28,1
-5869584000000,7.83,1
-5837961600000,8.54,1
-5806425600000,8.25,1
-5774889600000,9.28,1
-5743353600000,9.21,1
-5711731200000,8.91,1
-5680195200000,9.44,1
-5648659200000,9.27,1
-5617123200000,9.19,1
-5585500800000,9.09,1
-5553964800000,9.89,1
-5522428800000,8.67,1
-5490892800000,9.02,1
-5459270400000,9.0,1
-5427734400000,9.61,1
-5396198400000,7.89,1
-5364662400000,9.23,1
-5333126400000,9.6,1
-5301590400000,8.95,1
-5270054400000,9.05,1
-5238518400000,9.57,1
-5206896000000,8.97,1
-5175360000000,9.8,1
-5143824000000,8.64,1
-5112288000000,8.84,1
-5080665600000,8.93,1
-5049129600000,8.76,1
-5017593600000,9.67,1
-4986057600000,8.2,1
-4954435200000,8.71,1
-4922899200000,7.75,1
-4891363200000,9.06,1
-4859827200000,7.87,1
-4828204800000,8.89,1
-4796668800000,9.84,1
-4765132800000,9.23,1
-4733596800000,8.55,1
-4701974400000,9.51,1
-4670438400000,10.05,1
-4638902400000,8.37,1
-4607366400000,9.31,1
-4575744000000,9.72,1
-4544208000000,10.07,1
-4512672000000,9.46,1
-4481136000000,10.3,1
-4449513600000,8.16,1
-4417977600000,8.69,1
-4386441600000,10.09,1
-4354905600000,9.47,1
-4323283200000,9.49,1
-4291747200000,10.47,1
-4260211200000,9.55,1
-4228675200000,8.86,1
-4197052800000,8.82,1
-4165516800000,8.05,1
-4133980800000,8.68,1
-4102444800000,8.97,1
-4070822400000,8.71,1
-4039286400000,9.22,1
-4007750400000,9.06,1
-3976214400000,8.59,1
-3944592000000,8.26,1
-3913056000000,10.15,1
-3881520000000,9.22,1
-3849984000000,9.42,1
-3818361600000,9.3,1
-3786825600000,9.1,1
-3755289600000,9.14,1
-3723753600000,9.8,1
-3692131200000,8.37,1
-3660595200000,9.31,1
-3629059200000,8.02,1
-3597523200000,9.08,1
-3565900800000,10.07,1
-3534364800000,9.12,1
-3502828800000,9.61,1
-3471292800000,7.89,1
-3439670400000,9.12,1
-3408134400000,9.17,1
-3376598400000,9.67,1
-3345062400000,8.85,1
-3313440000000,9.69,1
-3281904000000,9.65,1
-3250368000000,9.02,1
-3218832000000,10.38,1
-3187209600000,9.62,1
-3155673600000,8.98,1
-3124137600000,9.05,1
-3092601600000,9.75,1
-3060979200000,8.98,1
-3029443200000,9.3,1
-2997907200000,9.43,1
-2966371200000,9.51,1
-2934748800000,9.17,1
-2903212800000,9.24,1
-2871676800000,7.42,1
-2840140800000,9.09,1
-2808518400000,8.56,1
-2776982400000,9.45,1
-2745446400000,9.02,1
-2713910400000,9.83,1
-2682288000000,8.57,1
-2650752000000,8.69,1
-2619216000000,8.27,1
-2587680000000,8.22,1
-2556057600000,8.99,1
-2524521600000,8.73,1
-2492985600000,8.49,1
-2461449600000,8.17,1
-2429827200000,9.97,1
-2398291200000,9.3,1
-2366755200000,8.65,1
-2335219200000,9.33,1
-2303596800000,9.42,1
-2272060800000,10.07,1
-2240524800000,9.69,1
-2208988800000,9.56,1
-2177452800000,9.11,1
-2145916800000,8.83,1
-2114380800000,9.32,1
-2082844800000,9.0,1
-2051222400000,9.13,1
-2019686400000,9.43,1
-1988150400000,8.84,1
-1956614400000,9.36,1
-1924992000000,8.55,1
-1893456000000,9.12,1
-1861920000000,10.05,1
-1830384000000,9.36,1
-1798761600000,9.78,1
-1767225600000,9.88,1
-1735689600000,8.93,1
-1704153600000,9.18,1
-1672531200000,8.51,1
-1640995200000,9.51,1
-1609459200000,8.48,1
-1577923200000,9.57,1
-1546300800000,10.47,1
-1514764800000,8.67,1
-1483228800000,9.08,1
-1451692800000,9.27,1
-1420070400000,9.17,1
-1388534400000,9.72,1
-1356998400000,9.2,1
-1325462400000,9.57,1
-1293840000000,9.01,1
-1262304000000,9.43,1
-1230768000000,8.99,1
-1199232000000,9.38,1
-1167609600000,9.83,1
-1136073600000,9.99,1
-1104537600000,9.72,1
-1073001600000,9.32,1
-1041379200000,9.57,1
-1009843200000,10.18,1
-978307200000,9.68,1
-946771200000,9.05,1
-915148800000,9.09,1
-883612800000,9.05,1
-852076800000,10.03,1
-820540800000,9.57,1
-788918400000,10.27,1
-757382400000,9.45,1
-725846400000,9.57,1
-694310400000,10.01,1
-662688000000,10.62,1
-631152000000,9.41,1
-599616000000,9.27,1
-568080000000,9.09,1
-536457600000,9.84,1
-504921600000,9.22,1
-473385600000,9.28,1
-441849600000,8.83,1
-410227200000,10.02,1
-378691200000,9.42,1
-347155200000,10.48,1
-315619200000,9.73,1
-283996800000,9.94,1
-252460800000,8.59,1
-220924800000,8.47,1
-189388800000,9.47,1
-157766400000,8.95,1
-126230400000,9.45,1
-94694400000,9.61,1
-63158400000,9.3,1
-31536000000,9.26,1
0,9.57,1
