Year,"Average annual temperature, central England, 1723 ? 1970"
1723,9.77
1724,9.27
1725,8.66
1726,9.34
1727,9.94
1728,9.52
1729,9.26
1730,10.04
1731,9.85
1732,9.69
1733,10.47
1734,9.8
1735,9.54
1736,10.3
1737,9.92
1738,9.81
1739,9.2
1740,6.84
1741,9.3
1742,8.36
1743,9.81
1744,8.78
1745,8.81
1746,8.61
1747,9.82
1748,8.77
1749,9.44
1750,9.69
1751,8.42
1752,9.19
1753,9.08
1754,8.83
1755,8.54
1756,8.77
1757,8.95
1758,8.95
1759,10
1760,9.83
1761,10
1762,9.58
1763,8.93
1764,8.72
1765,8.5
1766,8.62
1767,8.69
1768,8.93
1769,8.77
1770,8.51
1771,8.55
1772,9.15
1773,9.24
1774,9.07
1775,10.09
1776,9.01
1777,9.08
1778,9.2
1779,10.4
1780,9.09
1781,10.2
1782,8.01
1783,9.28
1784,7.83
1785,8.54
1786,8.25
1787,9.28
1788,9.21
1789,8.91
1790,9.44
1791,9.27
1792,9.19
1793,9.09
1794,9.89
1795,8.67
1796,9.02
1797,9
1798,9.61
1799,7.89
1800,9.23
1801,9.6
1802,8.95
1803,9.05
1804,9.57
1805,8.97
1806,9.8
1807,8.64
1808,8.84
1809,8.93
1810,8.76
1811,9.67
1812,8.2
1813,8.71
1814,7.75
1815,9.06
1816,7.87
1817,8.89
1818,9.84
1819,9.23
1820,8.55
1821,9.51
1822,10.05
1823,8.37
1824,9.31
1825,9.72
1826,10.07
1827,9.46
1828,10.3
1829,8.16
1830,8.69
1831,10.09
1832,9.47
1833,9.49
1834,10.47
1835,9.55
1836,8.86
1837,8.82
1838,8.05
1839,8.68
1840,8.97
1841,8.71
1842,9.22
1843,9.06
1844,8.59
1845,8.26
1846,10.15
1847,9.22
1848,9.42
1849,9.3
1850,9.1
1851,9.14
1852,9.8
1853,8.37
1854,9.31
1855,8.02
1856,9.08
1857,10.07
1858,9.12
1859,9.61
1860,7.89
1861,9.12
1862,9.17
1863,9.67
1864,8.85
1865,9.69
1866,9.65
1867,9.02
1868,10.38
1869,9.62
1870,8.98
1871,9.05
1872,9.75
1873,8.98
1874,9.3
1875,9.43
1876,9.51
1877,9.17
1878,9.24
1879,7.42
1880,9.09
1881,8.56
1882,9.45
1883,9.02
1884,9.83
1885,8.57
1886,8.69
1887,8.27
1888,8.22
1889,8.99
1890,8.73
1891,8.49
1892,8.17
1893,9.97
1894,9.3
1895,8.65
1896,9.33
1897,9.42
1898,10.07
1899,9.69
1900,9.56
1901,9.11
1902,8.83
1903,9.32
1904,9
1905,9.13
1906,9.43
1907,8.84
1908,9.36
1909,8.55
1910,9.12
1911,10.05
1912,9.36
1913,9.78
1914,9.88
1915,8.93
1916,9.18
1917,8.51
1918,9.51
1919,8.48
1920,9.57
1921,10.47
1922,8.67
1923,9.08
1924,9.27
1925,9.17
1926,9.72
1927,9.2
1928,9.57
1929,9.01
1930,9.43
1931,8.99
1932,9.38
1933,9.83
1934,9.99
1935,9.72
1936,9.32
1937,9.57
1938,10.18
1939,9.68
1940,9.05
1941,9.09
1942,9.05
1943,10.03
1944,9.57
1945,10.27
1946,9.45
1947,9.57
1948,10.01
1949,10.62
1950,9.41
1951,9.27
1952,9.09
1953,9.84
1954,9.22
1955,9.28
1956,8.83
1957,10.02
1958,9.42
1959,10.48
1960,9.73
1961,9.94
1962,8.59
1963,8.47
1964,9.47
1965,8.95
1966,9.45
1967,9.61
1968,9.3
1969,9.26
1970,9.57
