timestamp,CO2,Methane,assetno
7808400000,53.8,0.109,1
7808940000,53.6,0,1
7809480000,53.5,0.178,1
7810020000,53.5,0.339,1
7810560000,53.4,0.373,1
7811100000,53.1,0.441,1
7811640000,52.7,0.461,1
7812180000,52.4,0.348,1
7812720000,52.2,0.127,1
7813260000,52,0.18,1
7813800000,52,0.588,1
7814340000,52.4,1.055,1
7814880000,53,1.421,1
7815420000,54,1.52,1
7815960000,54.9,1.302,1
7816500000,56,0.814,1
7817040000,56.8,0.475,1
7817580000,56.8,0.193,1
7818120000,56.4,0.088,1
7818660000,55.7,0.435,1
7819200000,55,0.771,1
7819740000,54.3,0.866,1
7820280000,53.2,0.875,1
7820820000,52.3,0.891,1
7821360000,51.6,0.987,1
7821900000,51.2,1.263,1
7822440000,50.8,1.775,1
7822980000,50.5,1.976,1
7823520000,50,1.934,1
7824060000,49.2,1.866,1
7824600000,48.4,1.832,1
7825140000,47.9,1.767,1
7825680000,47.6,1.608,1
7826220000,47.5,1.265,1
7826760000,47.5,0.79,1
7827300000,47.6,0.36,1
7827840000,48.1,0.115,1
7828380000,49,0.088,1
7828920000,50,0.331,1
7829460000,51.1,0.645,1
7830000000,51.8,0.96,1
7830540000,51.9,1.409,1
7831080000,51.7,2.67,1
7831620000,51.2,2.834,1
7832160000,50,2.812,1
7832700000,48.3,2.483,1
7833240000,47,1.929,1
7833780000,45.8,1.485,1
7834320000,45.6,1.214,1
7834860000,46,1.239,1
7835400000,46.9,1.608,1
7835940000,47.8,1.905,1
7836480000,48.2,2.023,1
7837020000,48.3,1.815,1
7837560000,47.9,0.535,1
7838100000,47.2,0.122,1
7838640000,47.2,0.009,1
7839180000,48.1,0.164,1
7839720000,49.4,0.671,1
7840260000,50.6,1.019,1
7840800000,51.5,1.146,1
7841340000,51.6,1.155,1
7841880000,51.2,1.112,1
7842420000,50.5,1.121,1
7842960000,50.1,1.223,1
7843500000,49.8,1.257,1
7844040000,49.6,1.157,1
7844580000,49.4,0.913,1
7845120000,49.3,0.62,1
7845660000,49.2,0.255,1
7846200000,49.3,0.28,1
7846740000,49.7,1.08,1
7847280000,50.3,1.551,1
7847820000,51.3,1.799,1
7848360000,52.8,1.825,1
7848900000,54.4,1.456,1
7849440000,56,0.944,1
7849980000,56.9,0.57,1
7850520000,57.5,0.431,1
7851060000,57.3,0.577,1
7851600000,56.6,0.96,1
7852140000,56,1.616,1
7852680000,55.4,1.875,1
7853220000,55.4,1.891,1
7853760000,56.4,1.746,1
7854300000,57.2,1.474,1
7854840000,58,1.201,1
7855380000,58.4,0.927,1
7855920000,58.4,0.524,1
7856460000,58.1,0.04,1
7857000000,57.7,0.788,1
7857540000,57,0.943,1
7858080000,56,0.93,1
7858620000,54.7,1.006,1
7859160000,53.2,1.137,1
7859700000,52.1,1.198,1
7860240000,51.6,1.054,1
7860780000,51,0.595,1
7861320000,50.5,0.08,1
7861860000,50.4,0.314,1
7862400000,51,0.288,1
7862940000,51.8,0.153,1
7863480000,52.4,0.109,1
7864020000,53,0.187,1
7864560000,53.4,0.255,1
7865100000,53.6,0.229,1
7865640000,53.7,0.007,1
7866180000,53.8,0.254,1
7866720000,53.8,0.33,1
7867260000,53.8,0.102,1
7867800000,53.3,0.423,1
7868340000,53,1.139,1
7868880000,52.9,2.275,1
7869420000,53.4,2.594,1
7869960000,54.6,2.716,1
7870500000,56.4,2.51,1
7871040000,58,1.79,1
7871580000,59.4,1.346,1
7872120000,60.2,1.081,1
7872660000,60,0.91,1
7873200000,59.4,0.876,1
7873740000,58.4,0.885,1
7874280000,57.6,0.8,1
7874820000,56.9,0.544,1
7875360000,56.4,0.416,1
7875900000,56,0.271,1
7876440000,55.7,0,1
7876980000,55.3,0.403,1
7877520000,55,0.841,1
7878060000,54.4,1.285,1
7878600000,53.7,1.607,1
7879140000,52.8,1.746,1
7879680000,51.6,1.683,1
7880220000,50.6,1.485,1
7880760000,49.4,0.993,1
7881300000,48.8,0.648,1
7881840000,48.5,0.577,1
7882380000,48.7,0.577,1
7882920000,49.2,0.632,1
7883460000,49.8,0.747,1
7884000000,50.4,0.9,1
7884540000,50.7,0.993,1
7885080000,50.9,0.968,1
7885620000,50.7,0.79,1
7886160000,50.5,0.399,1
7886700000,50.4,0.161,1
7887240000,50.2,0.553,1
7887780000,50.4,0.603,1
7888320000,51.2,0.424,1
7888860000,52.3,0.194,1
7889400000,53.2,0.049,1
7889940000,53.9,0.06,1
7890480000,54.1,0.161,1
7891020000,54,0.301,1
7891560000,53.6,0.517,1
7892100000,53.2,0.566,1
7892640000,53,0.56,1
7893180000,52.8,0.573,1
7893720000,52.3,0.592,1
7894260000,51.9,0.671,1
7894800000,51.6,0.933,1
7895340000,51.6,1.337,1
7895880000,51.4,1.46,1
7896420000,51.2,1.353,1
7896960000,50.7,0.772,1
7897500000,50,0.218,1
7898040000,49.4,0.237,1
7898580000,49.3,0.714,1
7899120000,49.7,1.099,1
7899660000,50.6,1.269,1
7900200000,51.8,1.175,1
7900740000,53,0.676,1
7901280000,54,0.033,1
7901820000,55.3,0.556,1
7902360000,55.9,0.643,1
7902900000,55.9,0.484,1
7903440000,54.6,0.109,1
7903980000,53.5,0.31,1
7904520000,52.4,0.697,1
7905060000,52.1,1.047,1
7905600000,52.3,1.218,1
7906140000,53,1.183,1
7906680000,53.8,0.873,1
7907220000,54.6,0.336,1
7907760000,55.4,0.063,1
7908300000,55.9,0.084,1
7908840000,55.9,0,1
7909380000,55.2,0.001,1
7909920000,54.4,0.209,1
7910460000,53.7,0.556,1
7911000000,53.6,0.782,1
7911540000,53.6,0.858,1
7912080000,53.2,0.918,1
7912620000,52.5,0.862,1
7913160000,52,0.416,1
7913700000,51.4,0.336,1
7914240000,51,0.959,1
7914780000,50.9,1.813,1
7915320000,52.4,2.378,1
7915860000,53.5,2.499,1
7916400000,55.6,2.473,1
7916940000,58,2.33,1
7917480000,59.5,2.053,1
7918020000,60,1.739,1
7918560000,60.4,1.261,1
7919100000,60.5,0.569,1
7919640000,60.2,0.137,1
7920180000,59.7,0.024,1
7920720000,59,0.05,1
7921260000,57.6,0.135,1
7921800000,56.4,0.276,1
7922340000,55.2,0.534,1
7922880000,54.5,0.871,1
7923420000,54.1,1.243,1
7923960000,54.1,1.439,1
7924500000,54.4,1.422,1
7925040000,55.5,1.175,1
7925580000,56.2,0.813,1
7926120000,57,0.634,1
7926660000,57.3,0.582,1
7927200000,57.4,0.625,1
7927740000,57,0.713,1
7928280000,56.4,0.848,1
7928820000,55.9,1.039,1
7929360000,55.5,1.346,1
