timestamp,"Alcohol demand (log spirits consumption per head), UK, 1870-1938",assetno
-3147897600000,1.9569999999999999,A1
-3137356800000,1.979,A1
-3126816000000,2.012,A1
-3116361600000,2.045,A1
-3105820800000,2.056,A1
-3095280000000,2.068,A1
-3084739200000,2.056,A1
-3074198400000,2.043,A1
-3063657600000,2.029,A1
-3053203200000,1.9980000000000002,A1
-3042662400000,1.9880000000000002,A1
-3032121600000,1.984,A1
-3021667200000,1.9769999999999999,A1
-3011126400000,1.975,A1
-3000585600000,1.963,A1
-2990131200000,1.94,A1
-2979590400000,1.931,A1
-2969049600000,1.9269999999999998,A1
-2958508800000,1.9240000000000002,A1
-2947968000000,1.9409999999999998,A1
-2937427200000,1.969,A1
-2926972800000,1.973,A1
-2916432000000,1.974,A1
-2905891200000,1.95,A1
-2895436800000,1.943,A1
-2884896000000,1.9569999999999999,A1
-2874355200000,1.965,A1
-2863900800000,1.9709999999999999,A1
-2853360000000,1.972,A1
-2842819200000,1.996,A1
-2832278400000,2.0,A1
-2821737600000,1.99,A1
-2811196800000,1.975,A1
-2800742400000,1.949,A1
-2790201600000,1.933,A1
-2779660800000,1.9140000000000001,A1
-2769206400000,1.909,A1
-2758665600000,1.9140000000000001,A1
-2748124800000,1.889,A1
-2737670400000,1.795,A1
-2727129600000,1.764,A1
-2716588800000,1.7819999999999998,A1
-2706048000000,1.778,A1
-2695507200000,1.795,A1
-2684966400000,1.7890000000000001,A1
-2674512000000,1.875,A1
-2663971200000,1.785,A1
-2653430400000,1.608,A1
-2642976000000,1.5190000000000001,A1
-2632435200000,1.651,A1
-2621894400000,1.625,A1
-2611440000000,1.5390000000000001,A1
-2600899200000,1.492,A1
-2590358400000,1.4609999999999999,A1
-2579817600000,1.455,A1
-2569276800000,1.443,A1
-2558736000000,1.402,A1
-2548281600000,1.399,A1
-2537740800000,1.38,A1
-2527200000000,1.3780000000000001,A1
-2516745600000,1.337,A1
-2506204800000,1.3030000000000002,A1
-2495664000000,1.2590000000000001,A1
-2485209600000,1.264,A1
-2474668800000,1.255,A1
-2464128000000,1.253,A1
-2453587200000,1.276,A1
-2443046400000,1.291,A1
-2432505600000,1.272,A1
-2422051200000,1.767,A1
-2411510400000,1.777,A1
-2400969600000,1.776,A1
-2390515200000,1.794,A1
-2379974400000,1.8159999999999998,A1
-2369433600000,1.808,A1
-2358979200000,1.808,A1
-2348438400000,1.807,A1
-2337897600000,1.817,A1
-2327356800000,1.804,A1
-2316816000000,1.805,A1
-2306275200000,1.824,A1
-2295820800000,1.84,A1
-2285280000000,1.8459999999999999,A1
-2274739200000,1.849,A1
-2264284800000,1.867,A1
-2253744000000,1.8780000000000001,A1
-2243203200000,1.891,A1
-2232748800000,1.9169999999999998,A1
-2222208000000,1.936,A1
-2211667200000,1.955,A1
-2201212800000,1.945,A1
-2190672000000,1.929,A1
-2180131200000,1.921,A1
-2169676800000,1.9509999999999998,A1
-2159136000000,1.9780000000000002,A1
-2148595200000,1.9809999999999999,A1
-2138140800000,1.982,A1
-2127600000000,1.983,A1
-2117059200000,2.008,A1
-2106604800000,2.0,A1
-2096064000000,1.994,A1
-2085523200000,1.993,A1
-2074982400000,1.98,A1
-2064441600000,1.9769999999999999,A1
-2053900800000,1.992,A1
-2043446400000,2.012,A1
-2032905600000,2.02,A1
-2022364800000,2.002,A1
-2011910400000,2.004,A1
-2001369600000,2.01,A1
-1990828800000,2.017,A1
-1980374400000,2.028,A1
-1969833600000,2.036,A1
-1959292800000,2.022,A1
-1948752000000,1.99,A1
-1938211200000,1.984,A1
-1927670400000,1.976,A1
-1917216000000,1.9969999999999999,A1
-1906675200000,2.065,A1
-1896134400000,2.037,A1
-1885680000000,1.972,A1
-1875139200000,1.98,A1
-1864598400000,2.0140000000000002,A1
-1854144000000,2.017,A1
-1843603200000,2.021,A1
-1833062400000,2.021,A1
-1822521600000,2.056,A1
-1811980800000,2.0580000000000003,A1
-1801440000000,2.065,A1
-1790985600000,2.0580000000000003,A1
-1780444800000,2.052,A1
-1769904000000,2.049,A1
-1759449600000,2.077,A1
-1748908800000,2.089,A1
-1738368000000,2.106,A1
-1727913600000,2.121,A1
-1717372800000,2.121,A1
-1706832000000,2.1180000000000003,A1
-1696291200000,1.9180000000000001,A1
-1685750400000,1.906,A1
-1675209600000,1.88,A1
-1664755200000,1.8730000000000002,A1
-1654214400000,1.8980000000000001,A1
-1643673600000,1.9140000000000001,A1
-1633219200000,1.9180000000000001,A1
-1622678400000,1.9180000000000001,A1
-1612137600000,1.942,A1
-1601683200000,1.955,A1
-1591142400000,1.9380000000000002,A1
-1580601600000,1.946,A1
-1570060800000,1.95,A1
-1559520000000,1.95,A1
-1548979200000,1.972,A1
-1538524800000,2.0,A1
-1527984000000,2.01,A1
-1517443200000,2.015,A1
-1506988800000,2.015,A1
-1496448000000,2.01,A1
-1485907200000,2.01,A1
-1475452800000,2.01,A1
-1464912000000,2.005,A1
-1454371200000,2.01,A1
-1443830400000,2.03,A1
-1433289600000,2.04,A1
-1422748800000,2.04,A1
-1412294400000,2.03,A1
-1401753600000,2.015,A1
-1391212800000,2.025,A1
-1380758400000,2.0,A1
-1370217600000,2.005,A1
-1359676800000,2.005,A1
-1349222400000,2.0,A1
-1338681600000,1.995,A1
-1328140800000,1.995,A1
-1317600000000,1.9909999999999999,A1
-1307059200000,1.9809999999999999,A1
-1296518400000,1.9909999999999999,A1
-1286064000000,1.986,A1
-1275523200000,2.052,A1
-1264982400000,2.0469999999999997,A1
-1254528000000,2.0340000000000003,A1
-1243987200000,2.026,A1
-1233446400000,2.0340000000000003,A1
-1222992000000,1.945,A1
-1212451200000,1.994,A1
-1201910400000,2.208,A1
-1191369600000,2.27,A1
-1180828800000,2.2430000000000003,A1
-1170288000000,2.2569999999999997,A1
-1159833600000,2.299,A1
-1149292800000,2.372,A1
-1138752000000,2.411,A1
-1128297600000,2.408,A1
-1117756800000,2.408,A1
-1107216000000,2.437,A1
-1096761600000,2.428,A1
-1086220800000,2.431,A1
-1075680000000,2.436,A1
-1065139200000,2.455,A1
-1054598400000,2.484,A1
-1044057600000,2.496,A1
-1033603200000,2.505,A1
-1023062400000,2.502,A1
-1012521600000,2.496,A1
-1002067200000,2.484,A1
-991526400000,2.464,A1
-980985600000,2.458,A1
