timestamp,"Mean monthly temperature, 1907 ? 1972",assetno
-1988150400000,33.3,A1
-1985472000000,46.0,A1
-1983052800000,43.0,A1
-1980374400000,55.0,A1
-1977782400000,51.8,A1
-1975104000000,57.5,A1
-1972512000000,74.8,A1
-1969833600000,75.6,A1
-1967155200000,66.3,A1
-1964563200000,46.2,A1
-1961884800000,37.8,A1
-1959292800000,37.6,A1
-1956614400000,35.6,A1
-1953936000000,35.2,A1
-1951430400000,48.1,A1
-1948752000000,50.0,A1
-1946160000000,46.8,A1
-1943481600000,64.6,A1
-1940889600000,81.0,A1
-1938211200000,74.9,A1
-1935532800000,64.9,A1
-1932940800000,45.5,A1
-1930262400000,41.4,A1
-1927670400000,31.6,A1
-1924992000000,40.0,A1
-1922313600000,38.4,A1
-1919894400000,40.8,A1
-1917216000000,52.8,A1
-1914624000000,58.2,A1
-1911945600000,72.1,A1
-1909353600000,76.3,A1
-1906675200000,76.0,A1
-1903996800000,64.8,A1
-1901404800000,52.6,A1
-1898726400000,43.6,A1
-1896134400000,27.2,A1
-1893456000000,30.1,A1
-1890777600000,36.2,A1
-1888358400000,50.2,A1
-1885680000000,56.0,A1
-1883088000000,66.0,A1
-1880409600000,72.7,A1
-1877817600000,78.1,A1
-1875139200000,77.0,A1
-1872460800000,65.7,A1
-1869868800000,54.4,A1
-1867190400000,45.0,A1
-1864598400000,39.1,A1
-1861920000000,38.1,A1
-1859241600000,33.4,A1
-1856822400000,46.8,A1
-1854144000000,48.0,A1
-1851552000000,56.0,A1
-1848873600000,70.0,A1
-1846281600000,77.2,A1
-1843603200000,75.0,A1
-1840924800000,64.3,A1
-1838332800000,52.6,A1
-1835654400000,39.6,A1
-1833062400000,29.3,A1
-1830384000000,29.2,A1
-1827705600000,42.9,A1
-1825200000000,44.3,A1
-1822521600000,48.5,A1
-1819929600000,55.5,A1
-1817251200000,68.0,A1
-1814659200000,74.1,A1
-1811980800000,78.2,A1
-1809302400000,65.2,A1
-1806710400000,53.4,A1
-1804032000000,46.1,A1
-1801440000000,45.7,A1
-1798761600000,29.4,A1
-1796083200000,33.4,A1
-1793664000000,41.9,A1
-1790985600000,52.4,A1
-1788393600000,59.9,A1
-1785715200000,64.5,A1
-1783123200000,71.2,A1
-1780444800000,73.4,A1
-1777766400000,66.8,A1
-1775174400000,52.8,A1
-1772496000000,44.4,A1
-1769904000000,32.0,A1
-1767225600000,38.6,A1
-1764547200000,38.7,A1
-1762128000000,48.2,A1
-1759449600000,51.9,A1
-1756857600000,62.3,A1
-1754179200000,66.6,A1
-1751587200000,79.0,A1
-1748908800000,78.2,A1
-1746230400000,65.9,A1
-1743638400000,55.1,A1
-1740960000000,46.4,A1
-1738368000000,29.8,A1
-1735689600000,32.8,A1
-1733011200000,39.6,A1
-1730592000000,45.5,A1
-1727913600000,51.4,A1
-1725321600000,54.2,A1
-1722643200000,65.9,A1
-1720051200000,75.2,A1
-1717372800000,77.8,A1
-1714694400000,63.5,A1
-1712102400000,55.6,A1
-1709424000000,43.0,A1
-1706832000000,37.8,A1
-1704153600000,26.4,A1
-1701475200000,36.6,A1
-1698969600000,47.6,A1
-1696291200000,53.4,A1
-1693699200000,56.3,A1
-1691020800000,66.6,A1
-1688428800000,79.5,A1
-1685750400000,76.4,A1
-1683072000000,64.7,A1
-1680480000000,49.4,A1
-1677801600000,37.2,A1
-1675209600000,29.2,A1
-1672531200000,20.4,A1
-1669852800000,35.2,A1
-1667433600000,36.2,A1
-1664755200000,46.8,A1
-1662163200000,54.5,A1
-1659484800000,69.6,A1
-1656892800000,80.4,A1
-1654214400000,75.4,A1
-1651536000000,65.9,A1
-1648944000000,59.6,A1
-1646265600000,47.6,A1
-1643673600000,38.5,A1
-1640995200000,34.2,A1
-1638316800000,34.2,A1
-1635897600000,42.6,A1
-1633219200000,47.1,A1
-1630627200000,55.2,A1
-1627948800000,73.1,A1
-1625356800000,72.8,A1
-1622678400000,69.4,A1
-1620000000000,63.8,A1
-1617408000000,54.8,A1
-1614729600000,28.0,A1
-1612137600000,29.6,A1
-1609459200000,34.2,A1
-1606780800000,34.4,A1
-1604361600000,40.8,A1
-1601683200000,53.1,A1
-1599091200000,63.9,A1
-1596412800000,71.8,A1
-1593820800000,79.4,A1
-1591142400000,76.7,A1
-1588464000000,66.4,A1
-1585872000000,49.4,A1
-1583193600000,39.6,A1
-1580601600000,33.9,A1
-1577923200000,36.6,A1
-1575244800000,38.0,A1
-1572739200000,42.4,A1
-1570060800000,49.6,A1
-1567468800000,61.1,A1
-1564790400000,68.4,A1
-1562198400000,78.1,A1
-1559520000000,74.4,A1
-1556841600000,65.6,A1
-1554249600000,51.2,A1
-1551571200000,40.5,A1
-1548979200000,31.0,A1
-1546300800000,30.0,A1
-1543622400000,42.6,A1
-1541203200000,50.8,A1
-1538524800000,53.4,A1
-1535932800000,62.3,A1
-1533254400000,76.8,A1
-1530662400000,78.4,A1
-1527984000000,75.9,A1
-1525305600000,62.5,A1
-1522713600000,51.5,A1
-1520035200000,50.0,A1
-1517443200000,35.0,A1
-1514764800000,26.8,A1
-1512086400000,34.8,A1
-1509667200000,45.0,A1
-1506988800000,44.6,A1
-1504396800000,64.0,A1
-1501718400000,72.8,A1
-1499126400000,77.7,A1
-1496448000000,73.0,A1
-1493769600000,69.8,A1
-1491177600000,53.2,A1
-1488499200000,42.3,A1
-1485907200000,44.0,A1
-1483228800000,38.4,A1
-1480550400000,31.2,A1
-1478131200000,42.6,A1
-1475452800000,50.0,A1
