timestamp,Monthly U.S. female (20 years and over) unemployment figures (10**3) 1948-1981,assetno
-694310400000,446,A1
-691632000000,650,A1
-689126400000,592,A1
-686448000000,561,A1
-683856000000,491,A1
-681177600000,592,A1
-678585600000,604,A1
-675907200000,635,A1
-673228800000,580,A1
-670636800000,510,A1
-667958400000,553,A1
-665366400000,554,A1
-662688000000,628,A1
-660009600000,708,A1
-657590400000,629,A1
-654912000000,724,A1
-652320000000,820,A1
-649641600000,865,A1
-647049600000,1007,A1
-644371200000,1025,A1
-641692800000,955,A1
-639100800000,889,A1
-636422400000,965,A1
-633830400000,878,A1
-631152000000,1103,A1
-628473600000,1092,A1
-626054400000,978,A1
-623376000000,823,A1
-620784000000,827,A1
-618105600000,928,A1
-615513600000,838,A1
-612835200000,720,A1
-610156800000,756,A1
-607564800000,658,A1
-604886400000,838,A1
-602294400000,684,A1
-599616000000,779,A1
-596937600000,754,A1
-594518400000,794,A1
-591840000000,681,A1
-589248000000,658,A1
-586569600000,644,A1
-583977600000,622,A1
-581299200000,588,A1
-578620800000,720,A1
-576028800000,670,A1
-573350400000,746,A1
-570758400000,616,A1
-568080000000,646,A1
-565401600000,678,A1
-562896000000,552,A1
-560217600000,560,A1
-557625600000,578,A1
-554947200000,514,A1
-552355200000,541,A1
-549676800000,576,A1
-546998400000,522,A1
-544406400000,530,A1
-541728000000,564,A1
-539136000000,442,A1
-536457600000,520,A1
-533779200000,484,A1
-531360000000,538,A1
-528681600000,454,A1
-526089600000,404,A1
-523411200000,424,A1
-520819200000,432,A1
-518140800000,458,A1
-515462400000,556,A1
-512870400000,506,A1
-510192000000,633,A1
-507600000000,708,A1
-504921600000,1013,A1
-502243200000,1031,A1
-499824000000,1101,A1
-497145600000,1061,A1
-494553600000,1048,A1
-491875200000,1005,A1
-489283200000,987,A1
-486604800000,1006,A1
-483926400000,1075,A1
-481334400000,854,A1
-478656000000,1008,A1
-476064000000,777,A1
-473385600000,982,A1
-470707200000,894,A1
-468288000000,795,A1
-465609600000,799,A1
-463017600000,781,A1
-460339200000,776,A1
-457747200000,761,A1
-455068800000,839,A1
-452390400000,842,A1
-449798400000,811,A1
-447120000000,843,A1
-444528000000,753,A1
-441849600000,848,A1
-439171200000,756,A1
-436665600000,848,A1
-433987200000,828,A1
-431395200000,857,A1
-428716800000,838,A1
-426124800000,986,A1
-423446400000,847,A1
-420768000000,801,A1
-418176000000,739,A1
-415497600000,865,A1
-412905600000,767,A1
-410227200000,941,A1
-407548800000,846,A1
-405129600000,768,A1
-402451200000,709,A1
-399859200000,798,A1
-397180800000,831,A1
-394588800000,833,A1
-391910400000,798,A1
-389232000000,806,A1
-386640000000,771,A1
-383961600000,951,A1
-381369600000,799,A1
-378691200000,1156,A1
-376012800000,1332,A1
-373593600000,1276,A1
-370915200000,1373,A1
-368323200000,1325,A1
