timestamp,Monthly U.S. female (20 years and over) unemployment figures (10**3) 1948-1981,assetno
-694310400000,446,1
-691632000000,650,1
-689126400000,592,1
-686448000000,561,1
-683856000000,491,1
-681177600000,592,1
-678585600000,604,1
-675907200000,635,1
-673228800000,580,1
-670636800000,510,1
-667958400000,553,1
-665366400000,554,1
-662688000000,628,1
-660009600000,708,1
-657590400000,629,1
-654912000000,724,1
-652320000000,820,1
-649641600000,865,1
-647049600000,1007,1
-644371200000,1025,1
-641692800000,955,1
-639100800000,889,1
-636422400000,965,1
-633830400000,878,1
-631152000000,1103,1
-628473600000,1092,1
-626054400000,978,1
-623376000000,823,1
-620784000000,827,1
-618105600000,928,1
-615513600000,838,1
-612835200000,720,1
-610156800000,756,1
-607564800000,658,1
-604886400000,838,1
-602294400000,684,1
-599616000000,779,1
-596937600000,754,1
-594518400000,794,1
-591840000000,681,1
-589248000000,658,1
-586569600000,644,1
-583977600000,622,1
-581299200000,588,1
-578620800000,720,1
-576028800000,670,1
-573350400000,746,1
-570758400000,616,1
-568080000000,646,1
-565401600000,678,1
-562896000000,552,1
-560217600000,560,1
-557625600000,578,1
-554947200000,514,1
-552355200000,541,1
-549676800000,576,1
-546998400000,522,1
-544406400000,530,1
-541728000000,564,1
-539136000000,442,1
-536457600000,520,1
-533779200000,484,1
-531360000000,538,1
-528681600000,454,1
-526089600000,404,1
-523411200000,424,1
-520819200000,432,1
-518140800000,458,1
-515462400000,556,1
-512870400000,506,1
-510192000000,633,1
-507600000000,708,1
-504921600000,1013,1
-502243200000,1031,1
-499824000000,1101,1
-497145600000,1061,1
-494553600000,1048,1
-491875200000,1005,1
-489283200000,987,1
-486604800000,1006,1
-483926400000,1075,1
-481334400000,854,1
-478656000000,1008,1
-476064000000,777,1
-473385600000,982,1
-470707200000,894,1
-468288000000,795,1
-465609600000,799,1
-463017600000,781,1
-460339200000,776,1
-457747200000,761,1
-455068800000,839,1
-452390400000,842,1
-449798400000,811,1
-447120000000,843,1
-444528000000,753,1
-441849600000,848,1
-439171200000,756,1
-436665600000,848,1
-433987200000,828,1
-431395200000,857,1
-428716800000,838,1
-426124800000,986,1
-423446400000,847,1
-420768000000,801,1
-418176000000,739,1
-415497600000,865,1
-412905600000,767,1
-410227200000,941,1
-407548800000,846,1
-405129600000,768,1
-402451200000,709,1
-399859200000,798,1
-397180800000,831,1
-394588800000,833,1
-391910400000,798,1
-389232000000,806,1
-386640000000,771,1
-383961600000,951,1
-381369600000,799,1
-378691200000,1156,1
-376012800000,1332,1
-373593600000,1276,1
-370915200000,1373,1
-368323200000,1325,1
-365644800000,1326,1
-363052800000,1314,1
-360374400000,1343,1
-357696000000,1225,1
-355104000000,1133,1
-352425600000,1075,1
-349833600000,1023,1
-347155200000,1266,1
-344476800000,1237,1
-342057600000,1180,1
-339379200000,1046,1
-336787200000,1010,1
-334108800000,1010,1
-331516800000,1046,1
-328838400000,985,1
-326160000000,971,1
-323568000000,1037,1
-320889600000,1026,1
-318297600000,947,1
-315619200000,1097,1
-312940800000,1018,1
-310435200000,1054,1
-307756800000,978,1
-305164800000,955,1
-302486400000,1067,1
-299894400000,1132,1
-297216000000,1092,1
-294537600000,1019,1
-291945600000,1110,1
-289267200000,1262,1
-286675200000,1174,1
-283996800000,1391,1
-281318400000,1533,1
-278899200000,1479,1
-276220800000,1411,1
